Tracking contamination for  16 particles and  92 time steps. Reverse tracking: Disabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  3 | newX= 1039.9960 | newY=  589.2759
particle=  4 | newX=  986.4762 | newY=  585.4472
particle=  5 | newX=  936.4026 | newY=  566.6811
particle=  6 | newX=  892.5747 | newY=  533.6062
particle=  7 | newX=  856.6764 | newY=  486.2360
particle=  8 | newX=  829.6109 | newY=  421.7586
particle=  9 | newX=  813.8815 | newY=  328.5806
particle= 10 | newX=  838.4616 | newY=  161.9164
particle= 11 | newX= 1131.7828 | newY=   81.0922
particle= 12 | newX= 1228.4954 | newY=  230.7463
particle= 13 | newX= 1245.1963 | newY=  326.9446
particle= 14 | newX= 1238.9657 | newY=  400.9179
particle= 15 | newX= 1218.2335 | newY=  462.2728
STEP  27 | DAY  560
particle=  0 | newX= 1187.7062 | newY=  524.2661
particle=  1 | newX= 1144.8758 | newY=  563.4571
particle=  2 | newX= 1094.9040 | newY=  589.4517
particle=  3 | newX= 1041.1777 | newY=  600.8855
particle=  4 | newX=  987.4043 | newY=  597.1616
particle=  5 | newX=  937.0873 | newY=  578.5127
particle=  6 | newX=  893.0101 | newY=  545.5686
particle=  7 | newX=  856.8206 | newY=  498.3394
particle=  8 | newX=  829.3252 | newY=  433.9869
particle=  9 | newX=  812.6718 | newY=  340.7341
particle= 10 | newX=  834.0021 | newY=  171.2422
particle= 11 | newX= 1139.1677 | newY=   86.4906
particle= 12 | newX= 1233.5970 | newY=  240.9576
particle= 13 | newX= 1248.9937 | newY=  337.8283
particle= 14 | newX= 1242.0144 | newY=  412.0325
particle= 15 | newX= 1220.7561 | newY=  473.5151
STEP  28 | DAY  580
particle=  0 | newX= 1189.7562 | newY=  535.5598
particle=  1 | newX= 1146.5926 | newY=  574.8334
particle=  2 | newX= 1096.3289 | newY=  600.9132
particle=  3 | newX= 1042.3401 | newY=  612.4395
particle=  4 | newX=  988.3244 | newY=  608.8186
particle=  5 | newX=  937.7763 | newY=  590.2860
particle=  6 | newX=  893.4645 | newY=  557.4733
particle=  7 | newX=  857.0047 | newY=  510.3886
particle=  8 | newX=  829.1154 | newY=  446.1741
particle=  9 | newX=  811.6169 | newY=  352.9003
particle= 10 | newX=  829.7869 | newY=  180.9176
particle= 11 | newX= 1146.5297 | newY=   92.3118
particle= 12 | newX= 1238.5108 | newY=  251.2535
particle= 13 | newX= 1252.6560 | newY=  348.7158
particle= 14 | newX= 1244.9627 | newY=  423.1232
particle= 15 | newX= 1223.2021 | newY=  484.7204
STEP  29 | DAY  600
particle=  0 | newX= 1191.7510 | newY=  546.8109
particle=  1 | newX= 1148.2678 | newY=  586.1625
particle=  2 | newX= 1097.7242 | newY=  612.3243
particle=  3 | newX= 1043.4835 | newY=  623.9407
particle=  4 | newX=  989.2361 | newY=  620.4211
particle=  5 | newX=  938.4682 | newY=  602.0039
particle=  6 | newX=  893.9352 | newY=  569.3226
particle=  7 | newX=  857.2238 | newY=  522.3853
particle=  8 | newX=  828.9730 | newY=  458.3196
particle=  9 | newX=  810.7024 | newY=  365.0708
particle= 10 | newX=  825.8237 | newY=  190.9135
particle= 11 | newX= 1153.8417 | newY=   98.5416
