Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
particle=  7 | newX=  156.5556 | newY=  705.6035
particle=  8 | newX=  161.2748 | newY=  705.2980
particle=  9 | newX=  165.9909 | newY=  704.9947
STEP  47 | DAY  960
particle=  0 | newX=  124.7223 | newY=  697.0589
particle=  1 | newX=  129.4566 | newY=  696.7290
particle=  2 | newX=  134.1875 | newY=  696.4008
particle=  3 | newX=  138.9149 | newY=  696.0745
particle=  4 | newX=  143.6388 | newY=  695.7502
particle=  5 | newX=  148.3594 | newY=  695.4278
particle=  6 | newX=  153.0765 | newY=  695.1075
particle=  7 | newX=  157.7903 | newY=  694.7893
particle=  8 | newX=  162.5007 | newY=  694.4732
particle=  9 | newX=  167.2079 | newY=  694.1594
STEP  48 | DAY  980
particle=  0 | newX=  126.0364 | newY=  686.2991
particle=  1 | newX=  130.7629 | newY=  685.9576
particle=  2 | newX=  135.4857 | newY=  685.6180
particle=  3 | newX=  140.2048 | newY=  685.2804
particle=  4 | newX=  144.9204 | newY=  684.9448
particle=  5 | newX=  149.6324 | newY=  684.6113
particle=  6 | newX=  154.3408 | newY=  684.2799
