Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  0 | newX=  299.4781 | newY=  490.0077
particle=  1 | newX=  304.1575 | newY=  489.8777
particle=  2 | newX=  308.8364 | newY=  489.7539
particle=  3 | newX=  313.5150 | newY=  489.6366
particle=  4 | newX=  318.1935 | newY=  489.5255
particle=  5 | newX=  322.8721 | newY=  489.4208
particle=  6 | newX=  327.5510 | newY=  489.3223
particle=  7 | newX=  332.2305 | newY=  489.2300
particle=  8 | newX=  336.9107 | newY=  489.1439
particle=  9 | newX=  341.5920 | newY=  489.0638
STEP  24 | DAY  375
particle=  0 | newX=  300.3744 | newY=  481.1107
particle=  1 | newX=  305.0339 | newY=  480.9756
particle=  2 | newX=  309.6928 | newY=  480.8473
particle=  3 | newX=  314.3514 | newY=  480.7259
particle=  4 | newX=  319.0100 | newY=  480.6114
particle=  5 | newX=  323.6687 | newY=  480.5037
particle=  6 | newX=  328.3279 | newY=  480.4028
particle=  7 | newX=  332.9877 | newY=  480.3086
particle=  8 | newX=  337.6485 | newY=  480.2210
particle=  9 | newX=  342.3104 | newY=  480.1400
STEP  25 | DAY  390
particle=  0 | newX=  301.2756 | newY=  472.1737
particle=  1 | newX=  305.9143 | newY=  472.0336
particle=  2 | newX=  310.5523 | newY=  471.9009
particle=  3 | newX=  315.1901 | newY=  471.7757
particle=  4 | newX=  319.8279 | newY=  471.6580
particle=  5 | newX=  324.4660 | newY=  471.5476
particle=  6 | newX=  329.1045 | newY=  471.4445
particle=  7 | newX=  333.7439 | newY=  471.3487
particle=  8 | newX=  338.3843 | newY=  471.2601
particle=  9 | newX=  343.0260 | newY=  471.1786
STEP  26 | DAY  405
particle=  0 | newX=  302.1814 | newY=  463.1944
particle=  1 | newX=  306.7982 | newY=  463.0495
particle=  2 | newX=  311.4145 | newY=  462.9127
particle=  3 | newX=  316.0305 | newY=  462.7839
particle=  4 | newX=  320.6466 | newY=  462.6632
particle=  5 | newX=  325.2630 | newY=  462.5504
particle=  6 | newX=  329.8800 | newY=  462.4456
particle=  7 | newX=  334.4980 | newY=  462.3486
particle=  8 | newX=  339.1172 | newY=  462.2593
particle=  9 | newX=  343.7379 | newY=  462.1778
STEP  27 | DAY  420
particle=  0 | newX=  303.0912 | newY=  454.1707
particle=  1 | newX=  307.6852 | newY=  454.0212
particle=  2 | newX=  312.2786 | newY=  453.8804
particle=  3 | newX=  316.8718 | newY=  453.7483
particle=  4 | newX=  321.4651 | newY=  453.6249
particle=  5 | newX=  326.0589 | newY=  453.5101
particle=  6 | newX=  330.6534 | newY=  453.4038
particle=  7 | newX=  335.2491 | newY=  453.3061
particle=  8 | newX=  339.8461 | newY=  453.2167
particle=  9 | newX=  344.4449 | newY=  453.1356
STEP  28 | DAY  435
particle=  0 | newX=  304.0045 | newY=  445.1001
particle=  1 | newX=  308.5744 | newY=  444.9460
particle=  2 | newX=  313.1438 | newY=  444.8015
particle=  3 | newX=  317.7131 | newY=  444.6663
particle=  4 | newX=  322.2826 | newY=  444.5406
particle=  5 | newX=  326.8526 | newY=  444.4241
particle=  6 | newX=  331.4236 | newY=  444.3169
particle=  7 | newX=  335.9959 | newY=  444.2189
particle=  8 | newX=  340.5698 | newY=  444.1299
particle=  9 | newX=  345.1456 | newY=  444.0499
STEP  29 | DAY  450
particle=  0 | newX=  304.9205 | newY=  435.9796
particle=  1 | newX=  309.4651 | newY=  435.8213
particle=  2 | newX=  314.0094 | newY=  435.6733
particle=  3 | newX=  318.5535 | newY=  435.5354
particle=  4 | newX=  323.0980 | newY=  435.4077
particle=  5 | newX=  327.6432 | newY=  435.2901
particle=  6 | newX=  332.1894 | newY=  435.1824
particle=  7 | newX=  336.7372 | newY=  435.0847
particle=  8 | newX=  341.2867 | newY=  434.9967
particle=  9 | newX=  345.8385 | newY=  434.9184
STEP  30 | DAY  465
particle=  0 | newX=  305.8385 | newY=  426.8063
particle=  1 | newX=  310.3566 | newY=  426.6440
particle=  2 | newX=  314.8743 | newY=  426.4928
particle=  3 | newX=  319.3920 | newY=  426.3526
particle=  4 | newX=  323.9101 | newY=  426.2234
particle=  5 | newX=  328.4292 | newY=  426.1050
particle=  6 | newX=  332.9494 | newY=  425.9975
particle=  7 | newX=  337.4714 | newY=  425.9006
particle=  8 | newX=  341.9955 | newY=  425.8143
particle=  9 | newX=  346.5221 | newY=  425.7384
STEP  31 | DAY  480
particle=  0 | newX=  306.7576 | newY=  417.5769
particle=  1 | newX=  311.2477 | newY=  417.4109
particle=  2 | newX=  315.7374 | newY=  417.2568
particle=  3 | newX=  320.2273 | newY=  417.1147
particle=  4 | newX=  324.7177 | newY=  416.9844
particle=  5 | newX=  329.2092 | newY=  416.8659
particle=  6 | newX=  333.7021 | newY=  416.7591
particle=  7 | newX=  338.1971 | newY=  416.6639
particle=  8 | newX=  342.6944 | newY=  416.5800
particle=  9 | newX=  347.1945 | newY=  416.5074
STEP  32 | DAY  495
particle=  0 | newX=  307.6769 | newY=  408.2875
particle=  1 | newX=  312.1374 | newY=  408.1181
particle=  2 | newX=  316.5976 | newY=  407.9617
particle=  3 | newX=  321.0580 | newY=  407.8181
particle=  4 | newX=  325.5192 | newY=  407.6874
particle=  5 | newX=  329.9816 | newY=  407.5694
particle=  6 | newX=  334.4457 | newY=  407.4640
particle=  7 | newX=  338.9122 | newY=  407.3711
particle=  8 | newX=  343.3813 | newY=  407.2905
particle=  9 | newX=  347.8537 | newY=  407.2221
STEP  33 | DAY  510
particle=  0 | newX=  308.5952 | newY=  398.9342
