Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  6 | newX=  801.0450 | newY=  692.9929
particle=  7 | newX=  805.6853 | newY=  693.0213
particle=  8 | newX=  810.3248 | newY=  693.0523
particle=  9 | newX=  814.9633 | newY=  693.0860
STEP  37 | DAY  760
particle=  0 | newX=  773.0104 | newY=  681.5540
particle=  1 | newX=  777.6449 | newY=  681.5663
particle=  2 | newX=  782.2784 | newY=  681.5809
particle=  3 | newX=  786.9107 | newY=  681.5978
particle=  4 | newX=  791.5419 | newY=  681.6172
particle=  5 | newX=  796.1721 | newY=  681.6391
particle=  6 | newX=  800.8012 | newY=  681.6636
particle=  7 | newX=  805.4292 | newY=  681.6907
particle=  8 | newX=  810.0562 | newY=  681.7205
particle=  9 | newX=  814.6821 | newY=  681.7530
STEP  38 | DAY  780
particle=  0 | newX=  772.8431 | newY=  670.2058
particle=  1 | newX=  777.4659 | newY=  670.2160
particle=  2 | newX=  782.0875 | newY=  670.2287
particle=  3 | newX=  786.7079 | newY=  670.2438
particle=  4 | newX=  791.3271 | newY=  670.2614
particle=  5 | newX=  795.9450 | newY=  670.2816
particle=  6 | newX=  800.5618 | newY=  670.3044
particle=  7 | newX=  805.1774 | newY=  670.3298
particle=  8 | newX=  809.7918 | newY=  670.3581
particle=  9 | newX=  814.4050 | newY=  670.3892
STEP  39 | DAY  800
particle=  0 | newX=  772.6814 | newY=  658.8290
particle=  1 | newX=  777.2925 | newY=  658.8370
particle=  2 | newX=  781.9022 | newY=  658.8474
particle=  3 | newX=  786.5106 | newY=  658.8603
particle=  4 | newX=  791.1177 | newY=  658.8758
particle=  5 | newX=  795.7233 | newY=  658.8939
particle=  6 | newX=  800.3277 | newY=  658.9147
particle=  7 | newX=  804.9307 | newY=  658.9382
particle=  8 | newX=  809.5324 | newY=  658.9646
particle=  9 | newX=  814.1328 | newY=  658.9939
STEP  40 | DAY  820
particle=  0 | newX=  772.5263 | newY=  647.4236
particle=  1 | newX=  777.1256 | newY=  647.4289
particle=  2 | newX=  781.7234 | newY=  647.4368
particle=  3 | newX=  786.3198 | newY=  647.4471
particle=  4 | newX=  790.9146 | newY=  647.4601
particle=  5 | newX=  795.5079 | newY=  647.4757
particle=  6 | newX=  800.0997 | newY=  647.4941
particle=  7 | newX=  804.6901 | newY=  647.5153
particle=  8 | newX=  809.2790 | newY=  647.5395
particle=  9 | newX=  813.8664 | newY=  647.5666
STEP  41 | DAY  840
particle=  0 | newX=  772.3786 | newY=  635.9892
particle=  1 | newX=  776.9661 | newY=  635.9916
particle=  2 | newX=  781.5520 | newY=  635.9965
particle=  3 | newX=  786.1362 | newY=  636.0039
particle=  4 | newX=  790.7188 | newY=  636.0140
particle=  5 | newX=  795.2997 | newY=  636.0268
particle=  6 | newX=  799.8789 | newY=  636.0424
particle=  7 | newX=  804.4565 | newY=  636.0608
particle=  8 | newX=  809.0325 | newY=  636.0823
particle=  9 | newX=  813.6068 | newY=  636.1068
